RSFolder	FolderName
'/'	'DEV2'
'/'	'DEV3'
'/'	'DEV4'
'/'	'DEV5'
'/'	'DEV6'
'/'	'DEV7'
'/'	'DEV8'
'/'	'DEV9'
'/'	'DEV10'
'/'	'DEV11'
'/'	'DEV12'
'/'	'DEV13'
'/'	'DEV14'
'/'	'DEV15'
'/'	'DEV16'
'/'	'DEV17'
'/'	'DEV18'
'/'	'DEV19'
'/'	'DEV20'
'/'	'DEV21'
'/'	'DEV22'
'/'	'DEV23'
'/'	'DEV24'
'/'	'DEV25'
'/'	'DEV26'
'/'	'DEV27'
'/'	'DEV28'
'/'	'DEV29'
'/'	'DEV30'
'/DEV2'	'BEA Controlling'
'/DEV3'	'BEA Controlling'
'/DEV4'	'BEA Controlling'
'/DEV5'	'BEA Controlling'
'/DEV6'	'BEA Controlling'
'/DEV7'	'BEA Controlling'
'/DEV8'	'BEA Controlling'
'/DEV9'	'BEA Controlling'
'/DEV10'	'BEA Controlling'
'/DEV11'	'BEA Controlling'
'/DEV12'	'BEA Controlling'
'/DEV13'	'BEA Controlling'
'/DEV14'	'BEA Controlling'
'/DEV15'	'BEA Controlling'
'/DEV16'	'BEA Controlling'
'/DEV17'	'BEA Controlling'
'/DEV18'	'BEA Controlling'
'/DEV19'	'BEA Controlling'
'/DEV20'	'BEA Controlling'
'/DEV21'	'BEA Controlling'
'/DEV22'	'BEA Controlling'
'/DEV23'	'BEA Controlling'
'/DEV24'	'BEA Controlling'
'/DEV25'	'BEA Controlling'
'/DEV26'	'BEA Controlling'
'/DEV27'	'BEA Controlling'
'/DEV28'	'BEA Controlling'
'/DEV29'	'BEA Controlling'
'/DEV30'	'BEA Controlling'
